3,EILEEN GARDNER,54 Country Club Drive 28361,5376740344
5,MARILYN ROWE,19 Sheffield Drive 88129,2904186159
7,JESSIE MORRIS,981 Adams Avenue 89007,595442883
9,THOMAS FRY,513 North Street 18072,8470568324
10,THOMAS MILLER,740 6th Street 30990,217963907
12,JOSEPH MILLER,857 Adams Street 83764,3381073277
15,MARK SHORT,706 Cemetery Road 52303,1998915901
18,KATHERINE SMITH,651 5th Street East 84268,5317659963
19,JESSICA WILLIAMS,603 Summit Street 36984,1066337194
20,ELIZABETH RIVERA,163 Hudson Street 63566,9808881831
22,LESLIE MORRIS,580 Cedar Lane 93365,8153404591
24,PETER NORRIS,280 East Street 60032,4073353405
25,JEREMY HILL,799 Main Street 71222,3429244877
27,THOMAS WARREN,122 Mulberry Street 40230,422796078
28,JACQUELINE JORDAN,261 Laurel Lane 94579,290874331
29,VERA DONOVAN,64 Cobblestone Court 14043,9770143475
31,EILEEN GARDNER,340 Ridge Road 75770,4623171499
33,HECTOR TATE,232 Delaware Avenue 43586,8379185609
36,JAMES RICE,85 Jackson Street 54119,7907876518
37,RYAN LANG,244 Warren Street 23724,909605483
40,HENRY ROBINSON,749 Hillside Drive 73748,1872298540
42,KRISTIN GILL,82 Cambridge Drive 72722,6301409181
43,ROY PATTON,888 Pin Oak Drive 63533,9351942963
44,CHARLES DAVIS,62 Briarwood Drive 93812,6291239666
46,KAREN JOHNSTON,991 Old York Road 62877,3062957704
47,GERALD RODGERS,901 Crescent Street 54428,2597493250
48,DALE NAVARRO,661 Hillcrest Avenue 86983,8397006365
50,DANIELLE WHITFIELD,493 Park Street 56757,2286425251
52,JESSICA JONES,463 Sheffield Drive 88129,5263897842
53,WILLIAM MYERS,429 Canterbury Drive 92256,6670250243
